No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
2218,Lenovo Ideapad Slim 3i Core 3 100U 512GB SSD 8GB IPS Win11+OHS,7789000,Tidak Ada Rating,1 terjual,Lenovo Authorized Tangerang,Tangerang
2219,[ADD ON RAM 8GB] ASUS Vivobook 14 A1404VA-VIPS351M - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],7779000,5.0,24 terjual,Asus Official Store,Jakarta Timur
2220,[ADD ON RAM 8GB]  ASUS Vivobook 14 A1404VA-VIPS352M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],7779000,5.0,13 terjual,Asus Official Store,Jakarta Timur
2221,[ADD ON RAM 8GB] ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],7779000,5.0,1 terjual,Asus Official Store,Jakarta Timur
2222,Dell XPS 13 9370 Touch 4K Core i7 8650U 8th Backlite 13inch Mulus,7750000,5.0,1 terjual,Robal Computer,Bekasi
2223,Lenovo Ideapad Slim 3 Core i5 13420H 8GB 1TBSSD W11 14.0FHD IPS,7749000,5.0,23 terjual,Top Tech Comp,Jakarta Utara
2224,LENOVO Ideapad Slim 3 14 i5-13420H 8GB 512GB DOS 14.0FHD IPS,7749000,Tidak Ada Rating,1 terjual,Deca Computer,Jakarta Utara
2225,LENOVO IDEAPAD SLIM 3 14 I5 13420 8GB 512GB DOS 14.0FHD IPS,7749000,Tidak Ada Rating,29 terjual,Gaming Laptop ID,Jakarta Utara
2226,"Lenovo Ideapad Slim 3 14 I5 13420 8GB 512GB W11 14""FHD IPS",7749000,Tidak Ada Rating,2 terjual,AI Official Store,Jakarta Utara
2227,ASUS ExpertBook P1 P1403CVA-S63850WS Core i3 1315U 8GB 512GB W11 OHS Silver,7749000,5.0,10 terjual,Blessing Computer Bali,Denpasar
2228,"Laptop Hp 14S DQ5001TU i5 1235U 8GB 512SSD Iris Xe Win11 14""FHD",7749000,5.0,14 terjual,Kingz Notebook,Jakarta Pusat
2229,Laptop hp 15 amd ryzen 7 5700U ram 32gb ssd 1tb win11 silver,7700000,Tidak Ada Rating,Tidak Ada Data,Bitcom Lap,Jakarta Pusat
2230,Laptop hp 15 envy x360 ryzen 5 7520U ram 8gb ssd 1tb win11 silver - 8GB/256GB,7700000,Tidak Ada Rating,Tidak Ada Data,Bitcom Lap,Jakarta Pusat
2231,ADVAN Laptop Workplus Intel i5 12600H 24GB 512GB 14'' FHD IPS W11,7700000,Tidak Ada Rating,8 terjual,INFONET_NEW,Jakarta Utara
2232,Laptop Asus Vivobook X712FAC COR I7-10510U 17inch Ram 8GB/SSD 512GB,7700000,Tidak Ada Rating,Tidak Ada Data,kajoedstore17,Jakarta Barat
2233,HP Envy 13-aq1018Tax Cor i7 Gen 10 Ram 16/SSD 512 Nvdia MX250 Touch,7700000,Tidak Ada Rating,Tidak Ada Data,kajoedstore17,Jakarta Barat
2234,HP 14s-dq5152TU i5-1235U 512GB SSD 8GB IPS Win11+OHS Ori,7699000,5.0,750+ terjual,Sinarmulia Sukses Makmur,Jakarta Barat
2235,"ASUS Vivobook A1404za i5 1235U SSD 512gb 14"" fhd vips iRis xe w11 ohs",7699000,5.0,100+ terjual,hexxacom,Kab. Kediri
2236,"LAPTOP HP 14s-DQ5118TU/DQ5152TU i5-1235U 8GB 512GB iRis Xe 14"" FHD OHS W11 - DDR4 8GB",7699000,Tidak Ada Rating,100+ terjual,Protech Computer,Jakarta Pusat
2237,"LAPTOP HP 15S FQ5444TU / FQ5374TU / FQ5148TU - I3 1215U 8GB 512GB SSD 15.6"" WIN11 + OHS",7699000,Tidak Ada Rating,Tidak Ada Data,HOSANA COMPUTER,Jakarta Pusat
2238,"ACER ASPIRE LITE AL15 I5 1235 16GB 512GB W11PRE 15.6"" FHD",7699000,5.0,1 terjual,Gaming Laptop ID,Jakarta Utara
2239,"MacBook Pro 2020 13"" Quad Core i7 32/1TB TouchBar",7699000,5.0,3 terjual,Champion-Com,Tangerang
2240,"Msi modern 14 c7m ryzen 5 7530 16gb 512gb windows 11+office 14""fhd ips",7699000,5.0,3 terjual,Laptop Grosir ID,Jakarta Selatan
2241,HP Pavilion X360 14 2in1 TOUCH i3-1215 8GB 512GB SSD W11 14.0FHD IPS,7699000,5.0,7 terjual,ALIENWARE GAMING STORE,Jakarta Utara
2242,ASUS VIVOBOOK PRO K3400PA OLED I5-11300 RAM8GB 512SSD W11 14.0QHD 2.8K,7699000,Tidak Ada Rating,6 terjual,ALIENWARE GAMING STORE,Jakarta Utara
2243,"ASUS Expertbook P1403CVA-S63850WS i3-1315U/D5 8GB/512GB/14"" FHD VIPS/W11 Home/OHS/3Y (Wifi6/FP/42Wh/Backpack/Mcafee",7699000,Tidak Ada Rating,11 terjual,ASUS Expert Official Store,Jakarta Pusat
2244,"HP 14s-fq1032AU/fq1035AU Ryzen 3-5300U 8GB 512GB 14"" FHD IPS W10 OHS",7699000,4.9,40+ terjual,ROGS STORE,Jakarta Utara
2245,Asus Vivobook E1504FA OLED Ryzen 3 7320U 8GB ddr5 + OHS,7699000,4.9,25 terjual,Agres ID Surabaya,Surabaya
2246,LAPTOP 2IN1 HP ENVY X360 15 RYZEN 7 5825U 16GB 512GB RADEON FHD WIN11,7699000,5.0,6 terjual,GUDANG LAPTOP BSD,Kab. Tangerang
2247,"Asus Vivobook Go 15 OLED E1504FA-OLED351M Ryzen 3 7320U 8GB SSD 512GB 15.6"" FHD W11+OHS+M365",7670000,Tidak Ada Rating,Tidak Ada Data,ELS Computer - Semarang,Semarang
2248,Asus Vivobook Go 14 E1404FA [AMD R5-7520U|RAM 16GB|SSD 512GB|Win|OHS],7669000,5.0,5 terjual,megacom.id,Jakarta Pusat
2249,ASUS VivoBook S13 S330FA # i3-8145U 4GB SSD256GB SUPER SLiM !!,7667000,5.0,40+ terjual,OrKa,Jakarta Utara
2250,Hp pav x360 11inch TOUCH i3-8130 1TB W10 !!,7667000,5.0,3 terjual,OrKa,Jakarta Utara
2251,"LAPTOP AXIOO HYPE 5 X6 AMD R5 6600H/16GB/512GB/14""/W11",7650000,Tidak Ada Rating,5 terjual,heroK,Medan
2252,"HP 14 i5 1235 8gb 256ssd W11 + OHS 14"" FHD IPS BLIT 2Y",7649000,5.0,2 terjual,Gamer ID Surabaya,Surabaya
2253,"Laptop HP 14s-DQ5153TU i5-1235U SSD 512GB Iris XE 14"" FHD IPS W11 OHS",7649000,5.0,9 terjual,JAGO Notebook,Kab. Tangerang
2254,"AXIOO HYPE 5 x6 AMD RYZEN 5 6600 16GB 512GB W11 14"" FHD IPS GREY",7645000,5.0,12 terjual,Agres ID Semarang.,Semarang
2255,LAPTOP AXIOO MYBOOK Z10 METAL I5 1235U 10CORE RAM16GB 256SSD W11PRO,7619000,5.0,1 terjual,ALIENWARE GAMING STORE,Jakarta Utara
2256,Laptop ADVAN Workplus Core i5 12600H 24GB 512GB 14'' FHD IPS,7611000,Tidak Ada Rating,90+ terjual,TeknoTrend,Jakarta Pusat
2257,"Acer Aspire 5 A515-45 Ryzen 7-5700U 8Gb 512Gb 15,6"" FHD IPS Windows",7604550,4.9,60+ terjual,accesoriesku IT Surabaya,Surabaya
2258,"Laptop Asus ViVoBook TM4201, 2 In 1, Convertible (Touchscreen), Bisa Jadi Tablet, Amd Ryzen 7 - 4700U, Ram 8Gb / SSD 512Gb Keyboard backlight",7600000,Tidak Ada Rating,Tidak Ada Data,kajoedstore17,Jakarta Barat
2259,HUAWEI MateBook D 14 up to i5-13420H 16+512GB SSD | Sleek Metal Body,7599000,4.9,500+ terjual,Huawei Indonesia,Tangerang
2260,HUAWEI MateBook D14 Core i5 | Sleek Full Metal Body | Win11 Laptop,7599000,4.9,70+ terjual,Huawei Authorized Store,Jakarta Utara
2261,Laptop Asus Vivobook GO 14 E1404FA RYZEN 5 7520U Ram 16GB 512GB,7599000,5.0,500+ terjual,AGRES ID,Jakarta Utara
2262,Asus Vivobook Go 14 E1404FA Ryzen 5 7520U 16GB 512GB Radeon 610M o h s,7599000,5.0,40+ terjual,Agres ID Depok,Depok
2263,"ASUS Vivobook Go 14 E1404FA RYZEN 5-7520U 16GB 512GB 14"" FHD OHS W11",7599000,4.9,100+ terjual,Protech Computer,Jakarta Pusat
2264,Asus Vivobook GO 14 E1404FA AMD Ryzen 5 7520U 16GB 1TB W11 14.0FHD,7599000,5.0,100+ terjual,Top Tech Comp,Jakarta Utara
2265,"Asus Vivobook Go 14 E1404FA Ryzen 5 7520U Ram 16gb SSD 512gb Ssd 14.0"" Full hd IPS",7599000,5.0,100+ terjual,AGRES ID BOGOR,Bogor
2266,"ASUS Vivobook Go 14 E1404FA Ryzen 5-5720U 16GB 512GB 14""FHD W11 OHS",7599000,4.9,70+ terjual,Space Tech,Jakarta Barat
2267,"Asus Vivobook Go 14 E1404FA Ryzen 5 7520U 8GB 512GB 14"" FHD IPS",7599000,5.0,26 terjual,Agres ID Bandung,Bandung
2268,"ASUS Vivobook Go 14 E1404FA Ryzen 5-7520U SSD 512GB 14"" FHD W11 OHS",7599000,4.9,250+ terjual,Collins Official,Jakarta Pusat
2269,"Asus Vivobook GO 14 E1404FA Ryzen 5 7520 8GB 512GB SSD Win11 + OHS 14.0""Full HD Ips",7599000,5.0,21 terjual,LAPTOP GADGET ID,Jakarta Pusat
2270,HUAWEI MateBook D14 12th Gen Intel Core i5 12450H 8GB RAM 512GB SSD,7599000,5.0,70+ terjual,ARTHA JAYA STORE,Tangerang
2271,"Asus Vivobook GO 14 E1404FA Ryzen 5 7520U 16GB 512 SSD W11 OHS 14"" FHD",7599000,5.0,100+ terjual,royalltech,Jakarta Utara
2272,ASUS Vivobook Go 14 E1404FA-VIPS558M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],7599000,Tidak Ada Rating,Tidak Ada Data,TeknoTrend,Jakarta Pusat
2273,"Lenovo IdeaPad Slim 3 Core i5 12450H 8GB 1TB SSD 14"" FHD IPS W11",7599000,5.0,30+ terjual,Top Tech Comp,Jakarta Utara
2274,ASUS Vivobook Go 14 E1404FA Ryzen 5 7520U 512GB SSD 8GB IPS Win11+OHS,7599000,5.0,7 terjual,Sinarmulia Sukses Makmur,Jakarta Barat
2275,"Laptop HP 14s-DQ5152TU i5-1235U SSD 512GB Iris XE 14"" FHD IPS W11 OHS",7599000,4.9,60+ terjual,Collins Official,Jakarta Pusat
2276,Asus VIVOBOOK 14 A1404VA I3 1315 8gb 512gb W11+OHS+O365 14.0FHD IPS SLV -VIPS352M,7599000,5.0,5 terjual,Agres ID Surabaya,Surabaya
2277,Asus Vivobook GO 15 E1504FA OLED | Ryzen 3 7320U 8GB 512GB W11 + OHS + O365,7599000,5.0,1 terjual,AGRES ID JOGJA,Yogyakarta
2278,"AXIOO HYPE 5 AMD X6 Ryzen 5 6600H 16GB 512GB RADEON 660M 14"" FHD IPS W11 HOME ORI",7599000,5.0,1 terjual,kharismakencana,Malang
2279,"LENOVO IDEAPAD SLIM 3 i5-1235U 16GB SSD 512GB 15,6"" FHD WIN 11 PRE",7599000,5.0,100+ terjual,aura technology,Jakarta Pusat
2280,"Asus Vivobook Go 14 E1404FA AMD RYZEN 5-7520U 16GB 512GB SSD 14"" FHD",7599000,5.0,14 terjual,GAMER.ID,Jakarta Utara
2281,LAPTOP ZYREX BLAZE I5 12450H 16GB 512GB W11 OFFICE 14.0FHD BLIT METAL,7599000,5.0,40+ terjual,ProStoreComputer,Jakarta Utara
2282,"Laptop HP 14 Series Amd Ryzen 5 7530U Ram 8gb DDR5 SSD 512gb 14.0"" Full HD IPS BLIT + Windows 11 Home + OHS",7599000,5.0,5 terjual,AGRES ID BOGOR,Bogor
2283,"LENOVO IDEAPAD SLIM 3 14 CORE I5 12450 8GB 512GB SSD 14"" FHD IPS",7599000,Tidak Ada Rating,Tidak Ada Data,ALIENWARE GAMING STORE,Jakarta Utara
2284,Lenovo V14 AMD Ryzen 5-7520u 8GB RAM/512GB SSD 14'' WINDOWS 11+ohs,7599000,4.4,28 terjual,ZX'computer,Jakarta Pusat
2285,"ASUS Vivobook Go 15 OLED E1504FA Ryzen 3-7320U 8GB 15.6"" FHD W11 OHS",7599000,5.0,9 terjual,Smart Media Computer,Makassar
2286,ASUS VIVOBOOK GO 14 AMD E1404FA RYZEN 5 7520U 16GB 512GB SSD W11+OHS 14.0FHD IPS,7599000,5.0,250+ terjual,ROGS STORE,Jakarta Utara
2287,Asus Vivobook GO E1404FA - RYZEN 5 7520 16GB 512GB W11+OHS 14.0FHD,7599000,5.0,60+ terjual,Top Tech Comp,Jakarta Utara
2288,ASUS VivoBook 14 A1404ZA/X1404ZA Intel Core i5-1235U 8GB/512GB SSD 14.0'' Full HD Windows,7599000,5.0,2 terjual,ZX'computer,Jakarta Pusat
2289,ASUS VIVOBOOK F1504ZA i5 1235 24GB 16GB 1TB 512GB W11 OFFICE 15.6FHD,7599000,5.0,100+ terjual,royalltech,Jakarta Utara
2290,HP 14S I5 1235U 8GB 512 OHS 14.0 FHD IPS BlitKey 2Y Silver -DQ5118TU,7599000,5.0,13 terjual,Agres ID Bekasi,Bekasi
2291,Laptop Second Lenovo Slim Yoga 7 11th Gen Intel I5-1135G7 8/512GB,7599000,Tidak Ada Rating,Tidak Ada Data,Sri Laptop BDG,Bandung
2292,ASUS VIVOBOOK 14 M1405YA RYZEN 7 7730 RYZEN 5 7430 16GB 512GB W11+OHS,7589000,4.9,80+ terjual,ProStoreComputer,Jakarta Utara
2293,ASUS VIVOBOOK 14 M1405YA RYZEN 5 7430 RYZEN 7 7730 16GB 512GB W11+OHS,7589000,5.0,100+ terjual,ProStoreComputer,Jakarta Utara
2294,"Laptop HP 14s dq5152TU - I5 1235U 8GB 512GB SSD 14"" IPS WIN11 + OHS",7588000,5.0,7 terjual,HOSANA COMPUTER,Jakarta Pusat
2295,"ASUS Vivobook Go 14 e1404fa Ryzen 5-7520u 8gb SSD 512GB 14"" fhd w11 ohs",7570000,5.0,60+ terjual,hexxacom,Kab. Kediri
2296,Macbook pro M1 2020,7550000,5.0,1 terjual,Appleklinikjakarta,Kab. Sleman
2297,"Hp High End Spectre 13-af519TU, i7-8550U, Touchscreen",7550000,5.0,2 terjual,dr.com komputer,Jakarta Barat
2298,"Hp Envy X360 13-ay0006AU, Touchscreen, Flip, Ryzen 7-4700U, 16Gb/512Gb",7550000,5.0,4 terjual,dr.com komputer,Jakarta Barat
2299,ASUS Vivobook 14 A1404VA i3-1315U 512GB SSD 8GB IPS Win11+OHS,7549000,5.0,26 terjual,Sinarmulia Sukses Makmur,Jakarta Barat
2300,Huawei MateBook D14 - Intel core i5-12450H/8GB/512GB/14.0 FHD+ IPS/WIN11/SILVER,7549000,5.0,30+ terjual,IT Galeri Mall of Indonesia,Jakarta Utara
2301,Laptop HP 14 EM0018AU / EM0019AU RYZEN 5 7530U / 8GB 512SSD W11+OHS 14.0FHD,7539000,5.0,2 terjual,AMD Authorized Jakarta Timur,Jakarta Timur
2302,"MSI Modern 14 C7M Ryzen 5 7530U 8GB 512GB VEGA 7 14"" FHD OHS W11",7539000,5.0,8 terjual,AMD Authorized Jakarta Timur,Jakarta Timur
2303,ASUS Vivobook 14x M1403QA Ryzen 5 5600H 8GB 512GB SSD,7525000,5.0,750+ terjual,TeknoTrend,Jakarta Pusat
2304,ASUS Vivobook Go E1404FA-VIPS558 - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS],7525000,Tidak Ada Rating,Tidak Ada Data,TeknoTrend,Jakarta Pusat
2305,ASUS Vivobook Go 14 E1404FA-VIPS559M - Cool Silver [AMD Ryzen 5 7520U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],7525000,Tidak Ada Rating,Tidak Ada Data,TeknoTrend,Jakarta Pusat
2306,ASUS Vivobook Go 14 E1404FA Ryzen 5-7520U RAM 8GB 512GB SSD FHD W11,7525000,4.9,500+ terjual,Distributor Laptop ID,Jakarta Pusat
2307,"DELL LATITUDE 5420 Intel i5-1135G7 [16gb/512GB SSD] 14"" FULL HD",7519200,5.0,70+ terjual,ALPHA DATA NETWORK INDONESIA,Jakarta Utara
2308,Laptop 2 in 1 Lenovo ThinkPad X1 Yoga 6th Core i5 Gen 11 - RAM 8GB - SSD 1TB - 14 inch - FULL HD - TouchScreen - Windows 11 - Pen Stylus,7500000,Tidak Ada Rating,2 terjual,Butterfly Computer,Jakarta Pusat
2309,Apple Macbook Pro 2019 Retina 13 inch Core i5 128GB 256GB 512GB Second,7500000,4.9,60+ terjual,NEW RC,Jakarta Barat
2310,Lenovo Thinkpad P1 G3 Touch 4K 32GB Core i9 | i7 Gen 10 NVIDIA QUADRO,7500000,5.0,5 terjual,Ocean Laptop,Jakarta Barat
2311,Lenovo thinkpad X1 yoga 6th i5 1135G7 - RAM 8GB - SSD 1TB + Stylus -Touch - FULLHD,7500000,5.0,2 terjual,Mr Hanzo,Jakarta Pusat
2312,Lenovo YOGA C740 14IML 2in1 Core i5 Gen 10th 13 Inch Gorilla Glass,7500000,5.0,1 terjual,Robal Computer,Bekasi
2313,Lenovo Yoga 7 16 2in1 AMD Ryzen 5 7535u | 8GB | SSD 1TB | Touchscreen | 16.8inc,7500000,5.0,2 terjual,Mr Hanzo,Jakarta Pusat
2314,Lenovo Yoga 7 Carbon i5 8/512gb,7500000,Tidak Ada Rating,Tidak Ada Data,TaFearKolpri,Depok
2315,"Generasi terbaru prosesor Intel Core i9, laptop untuk game dan pekerjaan rumah terbaru, layar 15,6 inci, memori DDR4 16GB RAM, SSD M.2 1TB.",7499999,Tidak Ada Rating,3 terjual,ASVS PC,Jakarta Pusat
2316,LAPTOP AXIOO HYPE R 3 OLED | i3 1215U 24GB 256GB WINDOWS 11,7499000,5.0,19 terjual,Axioo Official Store ID,Jakarta Utara
2317,ASUS Vivobook 14 A1404VA-VIPS352M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],7499000,5.0,40+ terjual,Asus Official Store,Jakarta Timur
2318,LAPTOP AXIOO HYPE-R 3 OLED I3 1215 24GB 256GB 14.0 FHD 1KG DOS/W11,7499000,Tidak Ada Rating,100+ terjual,Collins Official,Jakarta Pusat
2319,"ASUS Vivobook Go 14 E1404FA Ryzen 5-7520U 16GB 512GB 14""FHD W11 OHS",7499000,5.0,50+ terjual,We Itech,Jakarta Barat
2320,ASUS Vivobook 14 A1404VA-VIPS351M - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],7499000,5.0,18 terjual,Asus Official Store,Jakarta Timur
2321,"ACER ASPIRE LITE AL14-51M-37GM i3 1215U 8GB 512GB SSD 14"" WUXGA W11",7499000,5.0,23 terjual,Acer Official Authorized Store,Jakarta Pusat
2322,LAPTOP LENOVO V14 G3 I5 1235 8GB 512GB W11+OHS 14.0FHD IPS 2YR,7499000,4.9,50+ terjual,ProStoreComputer,Jakarta Utara
2323,Laptop Mini 2023 Intel Alder Lake N95 12th 8 Inci 12/128Gb Win 11 Pro,7499000,4.7,40+ terjual,Juragan Electronik,Jakarta Timur
2324,Laptop HP Envy X360 13-ag0023AU AMD Ryzen 7 2700U 2.2GHz 8GB SSD 512GB,7499000,Tidak Ada Rating,Tidak Ada Data,Sri Laptop BDG,Bandung
2325,LAPTOP AXIOO MYBOOK SAGA 12 | i5 1240P 8GB 256SSD Windows 11 16 Inch,7499000,4.9,30+ terjual,Axioo Official Store ID,Jakarta Utara
2326,Microsoft Surface Pro 7 Core i5 Gen-10 Ram 8GB & 256GB SSD Grade A,7499000,Tidak Ada Rating,Tidak Ada Data,LAPTOPMURAH.COM,Jakarta Pusat
2327,Axioo HYPE-R 3 OLED I3 1215 24gb 256gb DOS/W11 14.0FHD BLK (UNDER 1KG),7499000,5.0,2 terjual,Agres ID Surabaya,Surabaya
2328,Asus VivoBook Pro K3400PA IPS554 I5 11300 8GB 512SSD OHS IPS 2.5K,7499000,5.0,10 terjual,ALIENWARE GAMING STORE,Jakarta Utara
2329,MSI MODERN 14 I5 1235U 8GB 512SSD IRIS XE W11 14.0FHD IPS BLIT 2YR,7499000,5.0,5 terjual,Agres ID Bekasi,Bekasi
2330,Laptop HP 14 EM0018AU / EM0019AU RYZEN 5 7530U / 8GB 512SSD W11+OHS 14.0FHD,7499000,5.0,15 terjual,AGRES - HP Authorized,Jakarta Utara
2331,Laptop HP 14 em0018AU | em0019AU Ryzen 5 7530U 8GB 512GB 14.0FHD IPS W11 OHS,7499000,5.0,4 terjual,Top Tech Comp,Jakarta Utara
2332,"Asus E1504FA OLED351M OLED352M OLED353M R3 7320U/8GB/512GB SSD/15.6"" FHD/W11+OHS+M365 Vivobook Go 15",7499000,5.0,4 terjual,Asus Official Store Medan,Medan
2333,"ASUS VIVOBOOK A1404VA-VIPS351 i3 1315U 8GB 512 W11+OHS21 14""FHD IPS BL FP",7486000,5.0,3 terjual,Agres ID Semarang.,Semarang
2334,"ASUS VIVOBOOK GO OLED E1504FA RYZEN 3 7320U 8GB 256/512GB W11+OHS 15"" FHD",7481000,5.0,2 terjual,Agres ID Semarang.,Semarang
2335,"Acer Aspire 5 A515-56G i5-1135G7 8Gb 512Gb Nvdia MX450 15,6"" FHD Laptop Layar Ram",7466750,5.0,100+ terjual,accesoriesku IT Surabaya,Surabaya
2336,Lenovo Thinkbook Core i7 Gen 11 DUAL VGA RAM 16GB SSD 512GB - Layar 14'' FHD Touchscreen,7450000,3.7,3 terjual,Computer Center 1,Jakarta Pusat
2337,"Laptop Acer Swift SF314-511, Core i7-1165G7,  Gen 11Th, Ram 16/512GB, #Backlight, #IPS, Lengkap, Iron Silver",7450000,5.0,1 terjual,BURSA_LAPTOP_EFEK,Jakarta Barat
2338,Laptop Acer Vero AV14-51 12th Gen Intel Core I5-1235H 8/512GB,7450000,Tidak Ada Rating,Tidak Ada Data,Sri Laptop BDG,Bandung
2339,HP 14-EM0018AU/EM0019AU [AMD Ryzen 5 7530U/8GB/512GB SSD/AMD Radeon/Win11+OHS],7450000,Tidak Ada Rating,Tidak Ada Data,INTIKOM STORE,Medan
2340,Asus VivoBook X421EPQY/ Core i7-1165G7/ Gen 11 Th/ 8/512Gb/ MX350 2Gb,7450000,5.0,3 terjual,dr.com komputer,Jakarta Barat
2341,[ PROMO ] ASUS VIVOBOOK GO 15 OLED E1504FA AMD Ryzen 3 7320 RAM 8GB Storage SSD 256GB/512GB 15.6 INCH FHD LAYAR OLED Windows 11 OHS 2021 Keyboard backlight Black Audio Webcam,7450000,5.0,30+ terjual,TIST Online,Jakarta Pusat
2342,Lenovo Thinkpad L13 3rd Gen Corei7-1265U 12 Threads RAM 32GB Layar 13 Inch IPS WUXGA 1200p,7450000,Tidak Ada Rating,Tidak Ada Data,ButterflyLaptopJogja,Kab. Sleman
2343,LAPTOP AXIOO HYPE 5 AMD X6 | Ryzen 5 6600H 16GB 512GB Windows 11,7449000,5.0,100+ terjual,Axioo Official Store ID,Jakarta Utara
2344,"LAPTOP AXIOO HYPE 5 AMD X6 RYZEN 5-6600H 16GB 512GB w11 14"" fhd",7449000,4.9,100+ terjual,AGRES ID,Jakarta Utara
2345,HP 14s Ryzen 5 7530U 8GB 512GB W11+OHS 14.0FHD IPS Blit -EM0018AU,7449000,5.0,18 terjual,AMD Official Store,Jakarta Utara
2346,Axioo Hype 5 Amd X6 Amd Ryzen 5 6600H Ram 16Gb 1Tbssd Win11 14.0Fhd Grey,7449000,5.0,7 terjual,Agres ID Bekasi,Bekasi
2347,"Axioo Hype 5 AMD X6 Ryzen 5 6600H 16GB 512GB W11 14"" FHD",7449000,4.9,21 terjual,Gaming Laptop ID,Jakarta Utara
2348,Axioo Hype 5 AMD X6 RYZEN 5 6600H 16GB 512GB W11 14.0FHD GRY,7449000,4.9,50+ terjual,ALIENWARE GAMING STORE,Jakarta Utara
2349,"Lenovo V14 G4 Amd Ryzen 5 7430U Ram 16gb SSD 512gb 14.0"" Full HD + Windows 11 + OHS",7449000,5.0,8 terjual,AGRES ID BOGOR,Bogor
2350,Axioo Hype 5 AMD X6 Ryzen 5 6600H 16GB 1TB SSD Win 11 14.0FHD IPS,7449000,5.0,11 terjual,JAGO Notebook,Kab. Tangerang
2351,"AXIOO HYPE 5 AMD X6 RYZEN 5 6600H 16GB 512GB W11 14.0"" FHD IPS",7449000,5.0,10 terjual,Agres ID Tangerang,Tangerang
2352,Asus Vivobook Go 15 E1504FA OLED352M Ryzen 3 7320 8GB 512GB W11 OHS  Mixed Black,7419000,5.0,10 terjual,Blessing Computer Bali,Denpasar
2353,ASUS VIVOBOOK GO 15 E1504FA-OLED351 15.6 R3-7320U 8GB 512GB W11 SLV,7415000,5.0,4 terjual,AMD Authorized Jakarta,Jakarta Timur
2354,Macbook Air M1 2020 13 RAM8 SSD512 Air Retina 13 inch,7400000,4.5,21 terjual,Orient Mac,Tangerang
2355,Asus Vivobook Go 15 E1504FA OLED [AMD Ryzen 3 7320U/8GB/512GB SSD/W11],7399000,5.0,26 terjual,INTIKOM STORE,Medan
2356,"MSI Modern 14 Core i5 Gen 12 16gb 512gb 14.0"" IPS Backlit",7399000,5.0,9 terjual,GAMING DISTRIBUTOR ID,Jakarta Barat
2357,LENOVO IDEAPAD SLIM 1 15 -  I5 1235 8GB 512GB 15.6FHD WIN11,7399000,5.0,5 terjual,ALIENWARE GAMING STORE,Jakarta Utara
2358,LAPTOP HP 14 I5 1155G7 RAM 8GB 256GB SSD WIN 11 14.0HD,7399000,5.0,1 terjual,Deca Computer,Jakarta Utara
2359,MSI Modern 14 C12MO i5-1235U Iris Xe 8GB / 16GB 512GB 14″ IPS sRGB W11,7399000,5.0,100+ terjual,Distributor Laptop ID,Jakarta Pusat
2360,"LENOVO V14 G3 [CORE i5-1235U] 8GB RAM | 512GB SSD | 14""FHD",7399000,5.0,1 terjual,SPACECOMP ID,Jakarta Barat
2361,"LAPTOP DELL LATITUDE 3410 - INTEL i3 10110U 8GB 256GB SSD 14"" UHD W10",7399000,5.0,100+ terjual,HOSANA COMPUTER,Jakarta Pusat
2362,ACER ASPIRE LITE AL15 CORE i5 1235U 16GB 512GB W11 15.6FHD IPS METAL CASING,7399000,5.0,3 terjual,Simone Comindo CV,Medan
2363,LAPTOP LENOVO THINKPAD T15 I7 GEN10 RAM 24 GB SSD 2 TB PROMO MURAH,7390000,5.0,2 terjual,Raja Murah Pedia,Jakarta Utara
2364,"Laptop ASUS Vivobook 14 A1404VA-VIPS352 FHD IPS / Core i3 Gen13U / Ram 8GB / 512GB SSD / Win11 Home - Cool Silver,",7389000,5.0,10 terjual,paradisestore.id,Jakarta Barat
2365,ASUS Vivobook Go 15 OLED E1504FA Ryzen 3 7320U 512GB SSD 8GB OLED OHS,7369000,5.0,50+ terjual,Sinarmulia Sukses Makmur,Jakarta Barat
2366,Laptop Hp 14s FQ2002AU - Ryzen 5 5625U 8GB 512ssd W11+OHS Backlite,7350000,5.0,13 terjual,GRAHA IT OFFICIAL,Surabaya
2367,"HP 14s FQ2002AU R5-5625U 8GB SSD 512GB UMA WIN11 OHS 14"" FHD IPS",7350000,5.0,5 terjual,GRAHA IT OFFICIAL,Surabaya
2368,Macbook air m1 2020 ram 16gb ssd 256gb,7350000,5.0,4 terjual,Graytech,Jakarta Pusat
